キА放,跋肕魁掸计,穦Ω计,祏戳穦Ω计
13.9,55,48,7
15,58,50,8
12.2,22,11,11
11.7,18,10,8
11.7,61,61,
12.2,35,32,3
13.3,57,52,5
13.9,53,52,1
14.4,60,48,12
14.4,31,15,16
17.2,7,4,3
14.4,59,56,3
13.9,57,53,4
15.6,50,38,12
17.8,57,53,4
18.3,53,46,7
17.2,23,14,9
15.6,24,19,5
16.7,64,55,9
16.7,70,68,2
16.7,61,55,6
16.7,65,61,4
15,60,58,2
14.4,33,24,9
15.6,24,11,13
20,59,55,4
16.7,55,54,1
16.7,57,46,11
20.6,72,59,13
21.7,48,36,12
17.2,23,15,8
16.1,30,12,18
14.4,55,55,
15.6,72,63,9
15.6,59,45,14
12.2,53,53,
16.7,58,51,7
16.1,18,10,8
16.1,19,8,11
14.4,60,51,9
13.3,74,63,11
14.4,84,69,15
16.1,46,43,3
15,54,44,10
15,25,18,7
15.6,25,18,7
15.6,57,55,2
15.6,63,60,3
16.1,47,45,2
16.7,72,71,1
16.1,54,49,5
16.7,25,15,10
16.1,40,16,24
17.2,47,35,12
17.2,65,64,1
18.3,52,52,
16.7,70,66,4
16.7,59,47,12
17.2,20,5,15
17.2,11,6,5
18.3,65,61,4
17.8,47,45,2
17.2,73,59,14
17.8,71,69,2
18.9,64,59,5
19.4,30,18,12
21.7,40,4,36
24.4,63,55,8
22.8,66,59,7
20,57,50,7
21.7,79,67,12
22.2,57,45,12
22.2,25,16,9
18.3,16,8,8
16.7,65,64,1
18.3,64,56,8
18.9,79,68,11
17.8,67,61,6
18.9,57,51,6
20,31,14,17
18.3,24,6,18
17.2,71,65,6
18.9,61,60,1
20,70,65,5
23.3,56,54,2
22.8,51,49,2
20.6,53,20,33
20,54,15,39
20.6,61,45,16
25,65,52,13
25,53,52,1
21.7,49,45,4
22.2,30,20,10
21.7,29,6,23
21.7,11,9,2
21.1,57,54,3
20.6,60,54,6
19.4,68,60,8
20,61,57,4
19.4,61,51,10
19.4,35,21,14
20.6,44,19,25
20.6,51,42,9
19.4,75,66,9
22.2,70,61,9
22.2,65,58,7
21.1,71,58,13
20.6,27,9,18
25,36,18,18
24.4,62,55,7
20.6,65,61,4
20,67,61,6
18.3,72,62,10
19.4,68,53,15
19.4,19,14,5
21.1,20,17,3
22.2,73,67,6
25,73,71,2
25,83,61,22
22.2,65,62,3
21.7,58,52,6
21.7,24,8,16
21.1,25,10,15
20.6,65,58,7
19.4,57,48,9
20.6,58,52,6
21.1,61,59,2
22.2,62,49,13
20.6,47,26,21
20,23,16,7
21.1,64,57,7
21.7,54,49,5
20.6,61,59,2
22.2,59,54,5
22.2,39,36,3
24.4,33,15,18
27.8,20,12,8
25,77,72,5
21.1,58,54,4
20.6,56,55,1
20.6,81,57,24
21.1,62,53,9
21.1,14,11,3
20.6,15,9,6
21.1,59,56,3
21.1,67,63,4
22.8,65,64,1
25.6,61,58,3
26.7,54,53,1
22.2,11,6,5
21.1,33,11,22
22.2,47,45,2
