Day,Timestamp,"San Francisco 
docks_available",San Francisco  Mean TemperatureF,San Francisco  MAX TemperatureF,San Francisco  MIN TemperatureF,"San Jose 
docks_available","San Jose Mean
Temperature",San Jose  MAX TemperatureF,San JoseMIN TemperatureF
2014/4/5,1399334400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/6,1399420800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/7,1399507200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/8,1399593600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/9,1399680000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/10,1399766400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/11,1399852800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/12,1399939200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/13,1400025600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/14,1400112000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/15,1400198400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/16,1400284800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/17,1400371200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/18,1400457600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/19,1400544000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/20,1400630400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/21,1400716800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/22,1400803200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/23,1400889600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/24,1400976000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/25,1401062400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/26,1401148800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/27,1401235200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/4/28,1401321600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/29,1401408000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/4/30,1401494400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/1,1401580800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/2,1401667200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/3,1401753600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/5/4,1401840000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/5/5,1401926400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/5/6,1402012800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/5/7,1402099200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/5/8,1402185600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/9,1402272000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/10,1402358400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/11,1402444800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/12,1402531200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/13,1402617600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/5/14,1402704000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/5/15,1402790400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/5/16,1402876800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/5/17,1402963200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/5/18,1403049600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/19,1403136000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/20,1403222400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/21,1403308800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/22,1403395200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/23,1403481600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/24,1403568000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/25,1403654400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/26,1403740800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/27,1403827200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/28,1403913600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/29,1404000000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/30,1404086400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/5/31,1404172800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/1,1404259200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/2,1404345600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/6/3,1404432000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/6/4,1404518400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/6/5,1404604800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/6/6,1404691200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/7,1404777600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/8,1404864000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/9,1404950400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/10,1405036800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/11,1405123200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/6/12,1405209600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/6/13,1405296000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/6/14,1405382400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/6/15,1405468800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/16,1405555200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/17,1405641600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/18,1405728000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/19,1405814400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/20,1405900800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/21,1405987200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/22,1406073600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/23,1406160000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/24,1406246400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/25,1406332800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/26,1406419200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/27,1406505600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/28,1406592000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/29,1406678400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/6/30,1406764800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/1,1406851200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/2,1406937600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/3,1407024000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/4,1407110400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/5,1407196800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/6,1407283200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/7,1407369600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/8,1407456000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/9,1407542400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/10,1407628800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/11,1407715200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/12,1407801600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/13,1407888000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/14,1407974400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/15,1408060800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/16,1408147200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/17,1408233600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/18,1408320000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/19,1408406400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/20,1408492800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/7/21,1408579200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/7/22,1408665600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/7/23,1408752000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/7/24,1408838400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/7/25,1408924800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/7/26,1409011200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/7/27,1409097600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/7/28,1409184000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/7/29,1409270400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/7/30,1409356800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/7/31,1409443200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/1,1409529600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/2,1409616000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/3,1409702400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/4,1409788800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/5,1409875200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/6,1409961600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/7,1410048000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/8,1410134400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/9,1410220800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/10,1410307200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/11,1410393600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/12,1410480000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/13,1410566400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/14,1410652800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/15,1410739200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/16,1410825600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/17,1410912000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/18,1410998400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/19,1411084800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/20,1411171200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/21,1411257600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/8/22,1411344000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/23,1411430400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/24,1411516800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/25,1411603200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/26,1411689600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/27,1411776000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/28,1411862400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/29,1411948800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/30,1412035200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/8/31,1412121600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/1,1412208000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/2,1412294400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/3,1412380800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/4,1412467200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/5,1412553600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/6,1412640000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/7,1412726400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/8,1412812800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/9,1412899200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/10,1412985600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/11,1413072000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/12,1413158400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/13,1413244800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/14,1413331200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/15,1413417600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/16,1413504000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/17,1413590400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/18,1413676800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/19,1413763200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/20,1413849600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/9/21,1413936000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/22,1414022400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/23,1414108800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/24,1414195200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/25,1414281600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/26,1414368000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/27,1414454400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/28,1414540800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/29,1414627200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/9/30,1414713600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/10/1,1414800000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/10/2,1414886400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/10/3,1414972800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/10/4,1415059200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/10/5,1415145600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/10/6,1415232000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/7,1415318400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/8,1415404800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/9,1415491200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/10,1415577600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/11,1415664000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/12,1415750400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/13,1415836800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/14,1415923200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/15,1416009600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/16,1416096000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/17,1416182400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/18,1416268800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/19,1416355200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/20,1416441600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/21,1416528000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/22,1416614400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/23,1416700800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/24,1416787200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/25,1416873600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/26,1416960000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/27,1417046400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/28,1417132800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/29,1417219200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/30,1417305600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/10/31,1417392000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/1,1417478400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/2,1417564800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/3,1417651200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/4,1417737600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/5,1417824000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/6,1417910400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/7,1417996800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/8,1418083200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/9,1418169600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/10,1418256000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/11,1418342400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/12,1418428800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/13,1418515200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/14,1418601600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/15,1418688000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/16,1418774400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/17,1418860800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/18,1418947200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/19,1419033600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/20,1419120000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/21,1419206400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/22,1419292800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/23,1419379200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/24,1419465600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/25,1419552000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/26,1419638400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/27,1419724800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/28,1419811200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/29,1419897600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/11/30,1419984000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/1,1420070400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/2,1420156800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/3,1420243200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/4,1420329600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/5,1420416000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/6,1420502400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/7,1420588800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/8,1420675200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/9,1420761600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/10,1420848000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/11,1420934400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/12,1421020800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/13,1421107200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/14,1421193600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/15,1421280000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/16,1421366400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/17,1421452800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/18,1421539200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/19,1421625600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/20,1421712000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/21,1421798400000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/22,1421884800000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/23,1421971200000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/24,1422057600000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/25,1422144000000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/12/26,1422230400000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/12/27,1422316800000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/12/28,1422403200000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/12/29,1422489600000 ,15,29.63,16.67,63,15,29.63,16.67,63
2014/12/30,1422576000000 ,14,29.63,16.67,63,14,29.63,16.67,63
2014/12/31,1422662400000 ,14,29.63,16.67,63,14,29.63,16.67,63
