日期時間,timestamp,Diridon Caltrain Station 剩餘數量,Civic Center 剩餘數量
2014/9/4 17:22,1.40988E+12,18,12
2014/9/4 17:27,1.40988E+12,17,11
2014/9/4 17:32,1.40988E+12,18,11
2014/9/4 17:36,1.40988E+12,19,11
2014/9/4 17:41,1.40988E+12,18,11
2014/9/4 17:42,1.40988E+12,17,11
2014/9/4 18:01,1.40988E+12,18,11
2014/9/4 18:02,1.40988E+12,17,11
2014/9/4 18:07,1.40988E+12,18,11
2014/9/4 18:20,1.40988E+12,17,11
2014/9/4 18:22,1.40988E+12,16,11
2014/9/4 18:27,1.40988E+12,17,11
2014/9/4 18:32,1.40988E+12,16,11
2014/9/4 18:37,1.40988E+12,17,11
2014/9/4 18:39,1.40988E+12,18,11
2014/9/4 18:42,1.40988E+12,17,11
2014/9/4 18:57,1.40989E+12,18,11
2014/9/4 19:02,1.40989E+12,17,11
2014/9/4 19:10,1.40989E+12,16,11
2014/9/4 19:12,1.40989E+12,17,11
2014/9/4 19:15,1.40989E+12,18,11
2014/9/4 19:18,1.40989E+12,17,11
2014/9/4 19:31,1.40989E+12,16,11
2014/9/4 19:39,1.40989E+12,15,11
2014/9/4 19:57,1.40989E+12,14,11
2014/9/4 20:32,1.40989E+12,13,11
2014/9/4 20:37,1.40989E+12,14,11
2014/9/4 21:07,1.40989E+12,13,12
2014/9/4 21:15,1.40989E+12,12,12
2014/9/4 21:17,1.40989E+12,13,12
2014/9/4 22:13,1.4099E+12,12,12
2014/9/4 22:57,1.4099E+12,11,12
2014/9/4 23:02,1.4099E+12,12,12
2014/9/4 23:07,1.4099E+12,13,12
2014/9/5 01:34,1.40991E+12,12,12
2014/9/5 01:42,1.40991E+12,11,12
2014/9/5 01:47,1.40991E+12,12,12
2014/9/5 02:12,1.40991E+12,11,12
2014/9/5 02:17,1.40991E+12,12,11
2014/9/5 06:41,1.40993E+12,13,11
2014/9/5 06:46,1.40993E+12,14,12
2014/9/5 06:50,1.40993E+12,15,11
2014/9/5 07:00,1.40993E+12,14,12
2014/9/5 07:23,1.40993E+12,15,11
2014/9/5 07:43,1.40993E+12,16,12
2014/9/5 07:46,1.40993E+12,15,12
2014/9/5 08:01,1.40993E+12,16,12
2014/9/5 08:02,1.40993E+12,15,12
2014/9/5 08:06,1.40993E+12,14,12
2014/9/5 08:17,1.40993E+12,15,11
2014/9/5 08:22,1.40993E+12,12,11
2014/9/5 08:47,1.40994E+12,11,11
2014/9/5 09:08,1.40994E+12,12,11
2014/9/5 09:19,1.40994E+12,11,11
2014/9/5 09:20,1.40994E+12,9,11
2014/9/5 09:27,1.40994E+12,8,10
2014/9/5 09:47,1.40994E+12,9,11
2014/9/5 10:12,1.40994E+12,8,11
2014/9/5 10:22,1.40994E+12,9,10
2014/9/5 10:37,1.40994E+12,8,11
2014/9/5 10:42,1.40994E+12,9,11
2014/9/5 14:05,1.40995E+12,10,11
2014/9/5 15:09,1.40996E+12,11,11
2014/9/5 16:22,1.40996E+12,13,11
2014/9/5 16:31,1.40996E+12,14,11
2014/9/5 16:32,1.40996E+12,13,11
2014/9/5 16:41,1.40996E+12,15,11
2014/9/5 16:42,1.40996E+12,16,11
2014/9/5 16:48,1.40996E+12,15,11
2014/9/5 16:52,1.40996E+12,16,11
2014/9/5 17:14,1.40997E+12,17,12
2014/9/5 17:17,1.40997E+12,15,12
2014/9/5 17:22,1.40997E+12,17,12
2014/9/5 17:33,1.40997E+12,16,12
2014/9/5 17:40,1.40997E+12,15,12
2014/9/5 17:52,1.40997E+12,14,12
2014/9/5 17:57,1.40997E+12,15,12
2014/9/5 18:02,1.40997E+12,14,12
2014/9/5 18:07,1.40997E+12,15,12
2014/9/5 18:12,1.40997E+12,14,12
2014/9/5 18:17,1.40997E+12,13,12
2014/9/5 18:20,1.40997E+12,14,12
2014/9/5 18:22,1.40997E+12,15,13
2014/9/5 18:27,1.40997E+12,14,13
2014/9/5 18:32,1.40997E+12,15,13
2014/9/5 18:47,1.40997E+12,14,13
2014/9/5 18:48,1.40997E+12,13,13
2014/9/5 18:52,1.40997E+12,14,13
2014/9/5 19:16,1.40997E+12,12,13
2014/9/5 19:17,1.40997E+12,11,13
2014/9/5 19:22,1.40997E+12,8,13
2014/9/5 19:27,1.40997E+12,9,13
2014/9/5 19:37,1.40997E+12,8,13
2014/9/5 19:42,1.40997E+12,7,13
2014/9/5 19:47,1.40998E+12,8,13
2014/9/6 00:16,1.40999E+12,7,13
2014/9/6 06:42,1.41001E+12,6,13
2014/9/6 06:47,1.41001E+12,7,13
2014/9/6 09:56,1.41003E+12,8,13
2014/9/6 10:42,1.41003E+12,7,13
2014/9/6 10:57,1.41003E+12,9,13
2014/9/6 11:02,1.41003E+12,8,13
2014/9/6 11:22,1.41003E+12,9,11
2014/9/6 11:23,1.41003E+12,11,11
2014/9/6 11:27,1.41003E+12,10,11
2014/9/6 11:32,1.41003E+12,11,11
2014/9/6 12:31,1.41004E+12,10,11
2014/9/6 16:32,1.41005E+12,9,11
2014/9/6 16:47,1.41005E+12,10,11
2014/9/6 16:52,1.41005E+12,9,11
2014/9/6 16:57,1.41005E+12,10,11
2014/9/6 17:17,1.41005E+12,9,11
2014/9/6 17:37,1.41005E+12,10,11
2014/9/6 18:00,1.41006E+12,9,11
2014/9/6 18:03,1.41006E+12,7,11
2014/9/6 18:04,1.41006E+12,6,11
2014/9/7 12:14,1.41012E+12,8,8
2014/9/7 12:16,1.41012E+12,10,8
2014/9/7 12:18,1.41012E+12,12,8
2014/9/7 12:20,1.41012E+12,13,8
2014/9/7 13:12,1.41012E+12,12,8
2014/9/7 17:27,1.41014E+12,11,7
2014/9/7 17:32,1.41014E+12,12,7
2014/9/7 17:47,1.41014E+12,11,7
2014/9/7 17:52,1.41014E+12,12,7
2014/9/7 17:57,1.41014E+12,11,7
2014/9/7 18:02,1.41014E+12,12,7
2014/9/7 18:37,1.41014E+12,11,9
2014/9/7 18:42,1.41014E+12,12,9
2014/9/8 06:37,1.41019E+12,13,8
2014/9/8 06:40,1.41019E+12,14,8
2014/9/8 07:02,1.41019E+12,13,8
2014/9/8 07:30,1.41019E+12,14,8
2014/9/8 07:37,1.41019E+12,15,8
2014/9/8 07:47,1.41019E+12,16,8
2014/9/8 07:48,1.41019E+12,15,8
2014/9/8 07:51,1.41019E+12,14,8
2014/9/8 08:01,1.41019E+12,15,8
2014/9/8 08:06,1.41019E+12,14,8
2014/9/8 08:17,1.41019E+12,13,7
2014/9/8 08:37,1.41019E+12,14,6
2014/9/8 08:38,1.41019E+12,13,6
2014/9/8 09:18,1.4102E+12,12,7
2014/9/8 09:19,1.4102E+12,10,7
2014/9/8 10:22,1.4102E+12,9,7
2014/9/8 10:27,1.4102E+12,10,7
2014/9/8 10:32,1.4102E+12,9,7
2014/9/8 10:37,1.4102E+12,10,7
2014/9/8 10:42,1.4102E+12,9,7
2014/9/8 10:47,1.4102E+12,10,7
2014/9/8 11:12,1.4102E+12,9,7
2014/9/8 11:17,1.4102E+12,10,7
2014/9/8 12:05,1.41021E+12,9,7
2014/9/8 13:30,1.41021E+12,10,7
2014/9/8 15:07,1.41022E+12,11,7
2014/9/8 15:12,1.41022E+12,10,7
2014/9/8 15:17,1.41022E+12,11,7
2014/9/8 15:32,1.41022E+12,10,7
2014/9/8 15:37,1.41022E+12,11,7
2014/9/8 15:42,1.41022E+12,10,7
2014/9/8 15:47,1.41022E+12,11,7
2014/9/8 16:10,1.41022E+12,12,7
2014/9/8 16:18,1.41022E+12,13,7
2014/9/8 16:22,1.41022E+12,12,7
2014/9/8 16:27,1.41022E+12,13,7
2014/9/8 16:34,1.41022E+12,14,7
2014/9/8 16:39,1.41022E+12,15,7
2014/9/8 16:42,1.41022E+12,16,7
2014/9/8 16:58,1.41022E+12,18,7
2014/9/8 17:17,1.41023E+12,19,7
2014/9/8 17:27,1.41023E+12,20,7
2014/9/8 17:34,1.41023E+12,19,7
2014/9/8 17:40,1.41023E+12,18,7
2014/9/8 17:41,1.41023E+12,17,7
2014/9/8 18:17,1.41023E+12,16,6
2014/9/8 18:19,1.41023E+12,17,6
2014/9/8 18:20,1.41023E+12,16,6
2014/9/8 19:18,1.41023E+12,15,6
2014/9/8 19:19,1.41023E+12,14,6
2014/9/8 19:31,1.41023E+12,13,6
2014/9/8 19:32,1.41023E+12,12,7
2014/9/8 19:39,1.41023E+12,11,6
2014/9/8 20:57,1.41024E+12,10,7
2014/9/9 05:53,1.41027E+12,11,8
2014/9/9 06:58,1.41027E+12,12,6
2014/9/9 07:01,1.41027E+12,11,6
2014/9/9 07:22,1.41028E+12,10,7
2014/9/9 07:24,1.41028E+12,9,7
2014/9/9 07:27,1.41028E+12,10,7
2014/9/9 07:34,1.41028E+12,11,8
2014/9/9 07:36,1.41028E+12,12,8
2014/9/9 07:45,1.41028E+12,13,8
2014/9/9 07:46,1.41028E+12,14,8
2014/9/9 07:47,1.41028E+12,12,8
2014/9/9 07:52,1.41028E+12,13,8
2014/9/9 07:57,1.41028E+12,14,8
2014/9/9 08:07,1.41028E+12,13,8
2014/9/9 08:08,1.41028E+12,12,8
2014/9/9 08:20,1.41028E+12,11,8
2014/9/9 08:33,1.41028E+12,10,8
2014/9/9 08:43,1.41028E+12,9,8
2014/9/9 09:07,1.41028E+12,8,7
2014/9/9 09:10,1.41028E+12,7,7
2014/9/9 09:11,1.41028E+12,6,7
2014/9/9 09:12,1.41028E+12,7,8
2014/9/9 09:27,1.41028E+12,6,8
2014/9/9 09:42,1.41028E+12,7,8
2014/9/9 09:47,1.41028E+12,6,8
2014/9/9 10:12,1.41029E+12,5,8
2014/9/9 10:17,1.41029E+12,6,8
2014/9/9 10:22,1.41029E+12,5,8
2014/9/9 10:27,1.41029E+12,6,8
2014/9/9 10:32,1.41029E+12,5,8
2014/9/9 10:37,1.41029E+12,6,8
2014/9/9 10:57,1.41029E+12,5,8
2014/9/9 11:02,1.41029E+12,6,8
2014/9/9 15:04,1.4103E+12,7,8
2014/9/9 15:07,1.4103E+12,6,8
2014/9/9 16:04,1.41031E+12,7,8
2014/9/9 16:20,1.41031E+12,8,8
2014/9/9 16:28,1.41031E+12,7,8
2014/9/9 16:35,1.41031E+12,8,8
2014/9/9 16:41,1.41031E+12,9,8
2014/9/9 16:58,1.41031E+12,8,8
2014/9/9 17:01,1.41031E+12,9,8
2014/9/9 17:05,1.41031E+12,8,8
2014/9/9 17:37,1.41031E+12,10,9
2014/9/9 17:41,1.41031E+12,7,9
2014/9/9 17:43,1.41031E+12,8,9
2014/9/9 17:49,1.41031E+12,9,9
2014/9/9 17:52,1.41031E+12,8,9
2014/9/9 18:07,1.41031E+12,7,9
2014/9/9 18:17,1.41032E+12,8,9
2014/9/9 18:19,1.41032E+12,6,9
2014/9/9 18:35,1.41032E+12,8,10
2014/9/9 18:41,1.41032E+12,7,10
2014/9/9 18:48,1.41032E+12,8,10
2014/9/9 19:39,1.41032E+12,6,10
2014/9/9 23:26,1.41033E+12,5,9
2014/9/10 06:51,1.41036E+12,6,10
2014/9/10 07:00,1.41036E+12,5,9
2014/9/10 07:33,1.41036E+12,6,9
2014/9/10 07:40,1.41036E+12,5,9
2014/9/10 07:41,1.41036E+12,6,9
2014/9/10 07:46,1.41036E+12,7,9
2014/9/10 07:48,1.41036E+12,6,9
2014/9/10 07:57,1.41036E+12,7,9
2014/9/10 08:09,1.41037E+12,5,9
2014/9/10 08:13,1.41037E+12,4,9
2014/9/10 08:20,1.41037E+12,3,9
2014/9/10 08:35,1.41037E+12,1,8
2014/9/10 08:48,1.41037E+12,0,9
2014/9/10 09:05,1.41037E+12,1,9
2014/9/10 09:09,1.41037E+12,0,9
2014/9/10 09:37,1.41037E+12,1,7
2014/9/10 09:40,1.41037E+12,2,7
2014/9/10 09:49,1.41037E+12,3,7
2014/9/10 10:05,1.41037E+12,2,7
2014/9/10 10:08,1.41037E+12,1,7
2014/9/10 10:27,1.41037E+12,2,7
2014/9/10 14:27,1.41039E+12,3,8
2014/9/10 15:08,1.41039E+12,4,8
2014/9/10 16:03,1.41039E+12,5,8
2014/9/10 16:07,1.41039E+12,6,8
2014/9/10 16:13,1.41039E+12,7,8
2014/9/10 16:14,1.41039E+12,8,8
2014/9/10 16:19,1.41039E+12,9,8
2014/9/10 16:28,1.4104E+12,10,8
2014/9/10 16:30,1.4104E+12,11,8
2014/9/10 16:34,1.4104E+12,12,8
2014/9/10 16:40,1.4104E+12,13,8
2014/9/10 16:49,1.4104E+12,14,8
2014/9/10 16:56,1.4104E+12,13,8
2014/9/10 17:14,1.4104E+12,12,8
2014/9/10 17:16,1.4104E+12,11,8
2014/9/10 17:18,1.4104E+12,12,8
2014/9/10 17:26,1.4104E+12,13,9
2014/9/10 17:33,1.4104E+12,12,9
2014/9/10 17:39,1.4104E+12,11,9
2014/9/10 17:41,1.4104E+12,12,9
2014/9/10 17:44,1.4104E+12,13,9
2014/9/10 18:18,1.4104E+12,12,8
2014/9/10 18:35,1.4104E+12,13,8
2014/9/10 18:41,1.4104E+12,12,8
2014/9/10 18:44,1.4104E+12,11,8
2014/9/10 19:12,1.41041E+12,12,8
2014/9/10 19:38,1.41041E+12,11,8
2014/9/10 20:15,1.41041E+12,10,9
2014/9/10 23:19,1.41042E+12,9,9
2014/9/11 05:47,1.41044E+12,10,8
2014/9/11 06:53,1.41045E+12,11,8
2014/9/11 07:01,1.41045E+12,10,9
2014/9/11 07:37,1.41045E+12,11,8
2014/9/11 07:38,1.41045E+12,10,8
2014/9/11 07:46,1.41045E+12,8,9
2014/9/11 07:49,1.41045E+12,9,9
2014/9/11 07:51,1.41045E+12,10,9
2014/9/11 07:53,1.41045E+12,9,9
2014/9/11 08:00,1.41045E+12,10,9
2014/9/11 08:05,1.41045E+12,9,9
2014/9/11 08:08,1.41045E+12,8,9
2014/9/11 08:13,1.41045E+12,9,9
2014/9/11 08:18,1.41045E+12,8,8
2014/9/11 08:25,1.41045E+12,9,9
2014/9/11 08:34,1.41045E+12,8,9
2014/9/11 08:37,1.41045E+12,7,9
2014/9/11 09:06,1.41046E+12,6,9
2014/9/11 09:21,1.41046E+12,5,10
2014/9/11 09:22,1.41046E+12,4,10
2014/9/11 10:08,1.41046E+12,6,10
2014/9/11 11:01,1.41046E+12,7,10
2014/9/11 11:04,1.41046E+12,6,10
2014/9/11 14:01,1.41047E+12,7,11
2014/9/11 15:45,1.41048E+12,6,11
2014/9/11 16:05,1.41048E+12,7,11
2014/9/11 16:14,1.41048E+12,8,11
2014/9/11 16:16,1.41048E+12,9,11
2014/9/11 16:17,1.41048E+12,10,11
2014/9/11 16:29,1.41048E+12,11,11
2014/9/11 16:34,1.41048E+12,12,11
2014/9/11 16:40,1.41048E+12,13,11
2014/9/11 16:51,1.41048E+12,12,11
2014/9/11 16:57,1.41048E+12,13,12
2014/9/11 16:58,1.41048E+12,14,12
2014/9/11 17:10,1.41048E+12,13,11
2014/9/11 17:13,1.41048E+12,14,11
2014/9/11 17:15,1.41048E+12,13,11
2014/9/11 17:44,1.41049E+12,14,12
2014/9/11 17:55,1.41049E+12,17,12
2014/9/11 18:32,1.41049E+12,16,12
2014/9/11 18:50,1.41049E+12,15,12
2014/9/11 19:20,1.41049E+12,14,12
2014/9/11 19:21,1.41049E+12,13,12
2014/9/11 19:39,1.41049E+12,12,13
2014/9/11 22:19,1.4105E+12,11,13
2014/9/11 23:48,1.41051E+12,12,12
2014/9/12 06:02,1.41053E+12,13,13
2014/9/12 07:28,1.41054E+12,12,13
2014/9/12 07:36,1.41054E+12,11,13
2014/9/12 07:37,1.41054E+12,12,13
2014/9/12 07:42,1.41054E+12,13,12
2014/9/12 07:46,1.41054E+12,10,12
2014/9/12 07:52,1.41054E+12,9,13
2014/9/12 07:57,1.41054E+12,10,12
2014/9/12 08:09,1.41054E+12,9,13
2014/9/12 08:17,1.41054E+12,8,12
2014/9/12 08:32,1.41054E+12,7,15
2014/9/12 08:40,1.41054E+12,6,15
2014/9/12 09:05,1.41054E+12,4,15
2014/9/12 09:12,1.41054E+12,5,15
2014/9/12 09:16,1.41054E+12,4,15
2014/9/12 09:17,1.41054E+12,3,15
2014/9/12 10:06,1.41055E+12,2,14
2014/9/12 14:32,1.41056E+12,3,12
2014/9/12 14:52,1.41056E+12,8,8
2014/9/12 14:53,1.41056E+12,7,8
2014/9/12 14:57,1.41056E+12,9,8
2014/9/12 16:17,1.41057E+12,11,8
2014/9/12 16:42,1.41057E+12,13,8
2014/9/12 16:57,1.41057E+12,15,8
2014/9/12 17:14,1.41057E+12,14,8
2014/9/12 17:17,1.41057E+12,15,8
2014/9/12 17:37,1.41057E+12,16,8
2014/9/12 17:41,1.41057E+12,15,8
2014/9/12 17:47,1.41057E+12,16,8
2014/9/12 18:03,1.41057E+12,15,8
2014/9/12 18:17,1.41057E+12,16,8
2014/9/12 18:22,1.41057E+12,17,8
2014/9/12 18:24,1.41058E+12,16,8
2014/9/12 19:17,1.41058E+12,15,7
2014/9/13 01:36,1.4106E+12,14,7
2014/9/13 04:57,1.41061E+12,13,6
2014/9/13 05:12,1.41061E+12,14,7
2014/9/13 10:02,1.41063E+12,15,7
2014/9/13 13:17,1.41064E+12,16,7
2014/9/13 15:48,1.41065E+12,15,7
2014/9/13 18:42,1.41066E+12,14,7
2014/9/14 10:55,1.41072E+12,15,6
2014/9/14 12:43,1.41073E+12,14,6
2014/9/14 12:48,1.41073E+12,16,6
2014/9/14 15:06,1.41074E+12,15,6
2014/9/14 16:58,1.41074E+12,14,4
2014/9/14 17:24,1.41074E+12,15,4
2014/9/14 22:57,1.41076E+12,14,5
2014/9/14 23:02,1.41076E+12,15,5
2014/9/15 06:53,1.41079E+12,16,5
2014/9/15 07:02,1.41079E+12,15,5
2014/9/15 07:26,1.41079E+12,16,5
2014/9/15 07:27,1.41079E+12,17,5
2014/9/15 07:41,1.4108E+12,16,5
2014/9/15 07:47,1.4108E+12,14,5
2014/9/15 07:56,1.4108E+12,15,5
2014/9/15 08:16,1.4108E+12,14,5
2014/9/15 08:33,1.4108E+12,13,5
2014/9/15 08:44,1.4108E+12,12,5
2014/9/15 09:19,1.4108E+12,11,5
