®H¨½ PM10,®H¨½ PM2.5,®H¨½ RH,®H¨½ Temp,®H¨½ Rain,®H¨½ Wind
89,73,71,14,0,0.4
87,74,74,13,0,0.9
83,71,76,12,0,0.6
73,62,76,12,0,0.7
71,62,78,12,0,0.4
71,61,78,12,0,0.3
71,58,78,12,0,0.6
73,57,78,12,0,0.4
71,60,78,12,0,0.4
66,58,77,13,0,0.5
71,62,77,13,0,0.5
77,65,73,14,0,0.4
76,62,66,16,0,0.1
71,58,56,18,0,0.5
62,50,52,20,0,1.9
62,47,51,20,0,1.9
73,51,52,20,0,3.1
82,61,54,20,0,3
87,65,58,19,0,2.9
78,57,64,18,0,1.7
75,51,67,17,0,0.8
84,62,69,16,0,0.6
78,58,73,15,0,0.9
67,46,75,15,0,0.3
68,48,76,14,0,0.3
64,46,78,14,0,0.5
57,39,79,13,0,0.4
57,35,80,13,0,0.6
55,35,80,13,0,0.2
54,38,81,12,0,0.5
56,43,81,12,0,0.2
56,41,82,12,0,0.1
57,40,83,12,0,0.4
64,44,83,12,0,0.3
68,50,82,12,0,0.2
77,61,78,14,0,0.4
78,63,70,16,0,0.3
78,64,57,19,0,1.2
64,51,53,21,0,2
55,41,51,22,0,3
60,42,51,22,0,2.7
70,45,52,21,0,2.9
70,46,53,20,0,2.6
76,47,55,19,0,2.6
86,51,57,18,0,0.8
95,63,64,17,0,0.7
93,65,68,16,0,0.8
83,61,71,15,0,0.8
79,58,72,14,0,0.3
73,56,76,13,0,0.9
75,60,78,13,0,0.3
73,61,77,13,0,0.1
71,59,78,13,0,0.9
68,59,79,13,0,0.5
95,84,77,13,0,0.1
106,92,78,13,0,0.5
84,68,80,13,0,0.3
82,60,79,13,0,0.4
88,68,76,14,0,0.2
93,71,68,16,0,0.3
87,64,61,19,0,0.6
75,55,57,20,0,1.2
60,43,53,21,0,0.6
49,31,50,23,0,0.8
53,33,54,22,0,2.9
73,51,58,21,0,2.9
98,70,62,20,0,2.6
112,78,66,19,0,1.3
116,89,69,19,0,0.5
123,97,73,18,0,0.5
123,96,77,17,0,0.3
121,101,78,17,0,0.6
122,102,79,17,0,0.6
119,97,80,17,0,0.3
108,87,81,16,0,0.6
93,75,82,16,0,0.3
86,73,83,16,0,0.2
68,56,81,16,0.2,0.1
49,33,82,16,0.2,1.1
38,28,79,16,0,0.9
31,27,80,16,0.2,0.9
27,18,75,16,0.2,1.8
21,8,68,17,0,2.5
20,7,69,18,0,1
18,10,66,19,0,1.6
21,10,67,19,0,2.6
22,13,65,19,0,2
23,15,63,20,0,1.6
26,12,59,21,0,0.9
21,12,58,21,0,1.8
43,30,65,20,0,3.5
64,44,67,19,0,2.2
64,43,69,18,0,1
70,43,74,17,0,0.6
72,46,75,17,0,0.7
65,45,76,16,0,0.9
56,43,76,16,0,0.7
55,43,79,16,0,0.9
55,39,80,15,0,0.9
53,34,82,14,0,1
49,38,81,15,0,0.2
43,37,83,13,0,0.8
44,33,85,13,0,0.6
49,37,84,14,0,0.3
51,40,83,13,0,0.4
57,41,82,13,0,0.6
57,38,78,14,0,0.9
53,38,72,16,0,1.2
50,35,67,17,0,0.4
43,29,57,19,0,0.9
34,24,47,20,0,2.9
34,24,35,21,0,3.5
44,25,28,21,0,3.7
51,25,29,21,0,3.1
61,31,34,20,0,2.9
77,41,42,18,0,1.3
79,44,44,17,0,1.2
75,47,52,15,0,0.6
70,46,54,14,0,0.5
59,41,59,12,0,0.3
60,40,68,11,0,0.6
55,32,66,11,0,0.5
44,30,69,10,0,0.4
35,28,69,9,0,0.5
32,19,67,9,0,0.5
33,17,68,8,0,0.3
32,17,68,7,0,0.1
28,13,67,7,0,0.1
22,13,71,7,0,0.1
31,15,68,7,0,0.3
37,11,59,9,0,0.4
43,18,51,12,0,0.2
43,19,34,16,0,0.2
35,12,32,19,0,1.4
40,17,33,20,0,1.2
46,24,34,21,0,1.9
61,38,41,20,0,3.4
75,51,40,20,0,3.6
88,54,42,19,0,3.7
99,60,48,17,0,1.8
103,66,51,17,0,0.3
101,71,58,15,0,0.9
105,70,64,14,0,0.4
109,70,67,13,0,0.4
100,72,71,12,0,0.5
90,69,73,12,0,0.4
86,69,74,11,0,0.6
82,64,76,10,0,0.4
75,58,77,10,0,0.5
72,59,77,9,0,0.1
72,56,78,9,0,0.6
61,45,78,8,0,0.6
55,41,78,8,0,0.4
56,39,78,8,0,0.6
60,43,72,10,0,0.1
59,43,59,13,0,0.4
48,30,40,17,0,0.1
32,22,26,20,0,0.5
31,18,28,22,0,2.9
40,20,29,22,0,2.5
56,30,32,22,0,2.7
72,43,32,22,0,3.1
86,60,44,20,0,3.4
106,74,58,18,0,2.3
114,83,61,17,0,0.6
114,86,64,16,0,0.4
112,88,70,15,0,0.5
112,89,69,14,0,0.7
104,84,73,13,0,0.5
95,79,74,13,0,0.5
93,79,75,12,0,0.5
88,79,74,13,0,0.3
89,76,74,13,0,0.4
87,75,75,13,0,0.2
89,76,75,13,0,0.2
89,80,74,13,0,0.5
83,75,74,13,0,1.1
86,69,74,13,0,0.1
82,68,67,15,0,0.5
68,57,57,17,0,0.4
53,40,47,20,0,0.5
37,25,37,22,0,0.2
28,14,35,22,0,0.8
31,14,35,22,0,0.7
31,15,35,23,0,0.7
29,15,36,23,0,1.1
32,20,38,23,0,0.8
46,29,44,22,0,0.8
68,41,50,20,0,0.8
73,47,55,19,0,1
67,53,58,19,0,0.3
66,47,64,18,0,0.1
62,42,69,17,0,0.5
59,44,72,17,0,0.6
59,42,74,16,0,0.2
54,42,76,16,0,0.3
50,38,79,16,0.2,0.2
48,35,80,15,0.2,0.3
43,35,81,15,0,0.4
44,38,83,15,0,0.1
45,41,83,15,0,0.5
44,39,83,15,0,0.4
48,39,81,16,0,0.3
50,39,77,17,0,0.3
51,44,79,17,0.2,0.6
40,28,79,17,0,0.8
28,12,72,19,0,0.5
26,10,67,20,0,0.5
17,8,65,21,0,0.4
12,5,64,21,0,0.5
13,7,64,21,0,1.1
17,10,65,21,0,0.1
29,17,71,20,0,0.8
39,18,75,19,0,0.7
37,19,78,19,0,0.9
46,29,79,18,0,0.3
55,35,79,18,0,0.1
46,33,79,18,0,0.2
49,41,82,17,0,0.5
59,49,83,17,0,0.5
53,42,83,17,0.2,0.3
40,37,84,17,0.8,0.7
34,31,85,17,2.4,0.6
28,28,85,17,0,0.6
21,22,85,17,0,0.3
22,24,85,17,0,0.4
31,25,85,17,0,0.4
37,28,82,17,0,0.4
39,38,81,18,0,0.7
48,38,78,19,0,0.7
40,28,72,20,0,0.2
27,20,71,20,0,0.8
24,18,71,20,0,0.9
27,19,71,20,0,0.7
35,26,74,20,0,1.3
46,37,75,20,0,1.8
56,53,77,19,0,1.4
61,61,78,18,0,0.9
66,63,79,18,0,0.8
72,66,81,18,0,0.6
72,64,82,18,0,0.7
73,69,83,17,0,0.6
75,71,84,17,0,0.4
73,64,84,17,0,0.7
75,61,84,17,0,0.6
71,64,85,17,0.4,0.3
67,61,85,17,0.2,0.1
46,40,84,17,0.2,0.4
27,24,83,17,0,0.5
37,28,84,17,0,0.1
49,39,84,17,0,0.4
49,42,79,18,0,0.4
39,30,70,20,0,0.7
31,18,65,21,0,1.6
24,19,64,22,0,2.6
28,23,64,21,0,3.8
37,23,66,21,0,3
44,27,66,20,0,2.3
48,32,67,20,0,1.7
50,34,69,20,0,1.3
55,38,71,19,0,0.9
59,41,73,19,0,0.4
57,43,75,18,0,0.5
56,41,76,18,0,0.6
51,34,78,18,0,0.4
44,29,79,17,0,0.5
42,30,81,17,0,0.7
40,31,81,17,0,0.5
40,27,81,17,0,0.6
42,27,81,16,0,0.4
42,27,82,16,0,0.1
43,25,82,16,0,0.2
44,26,83,16,0,0.4
43,22,82,16,0,0.6
40,20,80,17,0,0.2
46,30,72,19,0,0.3
40,27,58,21,0,0.5
26,15,49,23,0,0.4
21,13,47,24,0,2.6
26,15,48,24,0,4
32,17,50,24,0,3.5
46,28,56,23,0,4
62,35,60,22,0,2.9
60,32,62,21,0,1.8
57,32,66,20,0,0.6
59,30,67,20,0,1
61,30,71,19,0,0.7
55,28,73,18,0,0.9
45,23,73,18,0,0.5
46,25,77,17,0,0.7
54,30,77,17,0,0.4
56,34,78,17,0,0.1
50,32,80,17,0,0.5
45,31,79,17,0,0.1
48,32,80,16,0,0.1
44,27,81,16,0,0.3
40,26,82,15,0,0.1
44,29,82,15,0,0.3
53,32,79,16,0,0.2
59,35,68,19,0,0.1
46,30,58,21,0,0.8
31,23,53,23,0,1.4
22,16,52,24,0,3.6
26,17,57,22,0,4.4
37,23,58,22,0,3.4
43,23,59,21,0,2.3
43,19,58,21,0,0.9
38,18,59,21,0,1.3
46,29,67,19,0,0.9
59,40,72,18,0,0.9
66,43,75,17,0,0.5
66,40,76,16,0,0.5
56,35,78,15,0,0.5
49,31,79,15,0,0.5
46,27,79,15,0,0.9
45,26,80,14,0,0.6
43,27,80,15,0,0.5
40,29,80,15,0,0.6
37,30,80,15,0,0.3
35,30,81,14,0,0.4
38,29,81,14,0,0.3
43,27,81,14,0,0.6
48,33,79,15,0,0.3
53,39,71,18,0,0.4
54,31,61,20,0,0.5
44,18,49,23,0,0.7
29,11,49,24,0,4.2
28,14,50,23,0,4.3
35,22,51,23,0,3.7
39,24,52,22,0,3.5
43,28,54,21,0,3.1
50,30,60,19,0,2.4
56,32,63,18,0,1.4
55,40,67,17,0,0.9
59,43,70,16,0,0.5
61,42,74,15,0,0.7
59,40,75,15,0,0.8
54,39,77,14,0,0.8
51,39,78,14,0,0.6
53,37,80,13,0,0.7
51,37,80,13,0,0.7
50,38,80,13,0,0.5
49,39,79,13,0,0.5
53,40,80,14,0,0.6
55,42,80,14,0,0.4
56,46,80,14,0,0.2
59,47,76,15,0,0.3
54,44,69,17,0,0.4
49,42,60,19,0,0.9
45,35,55,21,0,0.7
48,31,55,22,0,2.5
49,35,53,22,0,3.1
48,38,53,22,0,3.4
51,34,52,22,0,3.4
53,32,55,21,0,3.2
51,29,59,20,0,2.1
55,34,64,19,0,1.3
61,39,67,18,0,1.2
60,34,70,18,0,0.8
55,34,72,17,0,0.5
49,34,74,16,0,0.5
46,30,77,15,0,0.7
44,27,78,15,0,0.4
45,30,79,14,0,0.8
44,31,79,15,0,0.4
43,28,80,14,0,0.5
42,26,79,15,0,0.4
34,27,78,14,0,0.2
38,26,80,14,0,0.5
44,27,79,14,0,0.5
49,32,74,16,0,0.3
54,35,67,18,0,0.7
45,34,58,19,0,0.5
37,24,50,22,0,1.3
45,25,54,22,0,4.1
60,35,54,22,0,4.5
70,48,54,22,0,3.8
78,56,56,21,0,4
77,49,60,20,0,3.7
72,48,65,19,0,2
76,54,66,19,0,0.6
78,53,70,18,0,1.2
73,46,75,17,0,0.8
66,40,76,16,0,0.5
62,43,78,15,0,0.7
59,42,80,15,0,0.4
55,38,82,14,0,0.4
51,39,84,14,0,0.4
54,44,82,14,0,0.2
62,51,82,14,0,0.4
62,50,82,14,0,0.2
62,51,80,14,0,0.7
62,51,79,14,0,0.6
60,49,78,14,0,0.7
64,54,75,15,0,0.3
65,53,69,17,0,0.4
54,40,61,19,0,0.4
42,26,52,21,0,0.5
35,26,50,22,0,2.7
29,31,54,22,0,3.8
34,30,53,22,0,2.6
43,30,55,22,0,1.3
54,34,65,20,0,3.6
55,32,70,18,0,2
50,32,71,18,0,1.4
49,30,73,17,0,1.3
49,33,75,17,0,0.6
48,34,76,17,0,1.1
46,32,77,17,0,0.6
45,31,78,17,0,0.8
45,31,79,16,0,0.8
44,31,81,15,0,1.2
43,30,81,15,0,0.9
44,31,79,16,0,0.2
43,30,81,15,0,0.5
43,30,81,15,0,0.7
46,32,80,16,0,0.2
51,36,80,16,0,0.5
56,41,80,16,0,0.5
55,39,73,18,0,0.2
54,38,67,19,0,0.4
49,33,54,22,0,1.3
43,15,53,22,0,4
39,24,55,22,0,4.3
55,33,57,22,0,4.7
64,39,60,20,0,4
57,38,60,20,0,2.2
51,34,63,19,0,2.2
55,31,68,17,0,2.1
54,28,70,16,0,1.1
51,31,72,16,0,0.6
50,33,75,15,0,1
50,32,77,15,0,0.8
49,30,77,15,0,0.3
50,31,79,14,0,0.7
46,32,80,14,0,0.2
40,34,80,14,0,0.6
43,34,80,14,0,0.4
45,34,81,13,0,1.1
49,39,81,13,0,1.3
53,40,80,13,0,1.3
53,39,80,13,0,0.6
57,42,79,14,0,0.8
62,43,77,14,0,0.8
60,43,75,15,0,0.7
61,46,72,16,0,0.7
61,46,69,17,0,0.8
53,39,60,19,0,1.1
78,55,59,17,0,5
108,77,62,16,0,3.1
115,85,64,15,0,2
120,93,66,15,0,1.2
122,100,67,15,0,1.3
132,104,68,15,0,1.3
127,102,69,14,0,0.8
122,94,69,14,0,1.1
120,92,69,14,0,1.1
106,91,69,14,0,0.3
103,87,70,14,0,0.4
101,88,70,13,0,1
100,87,71,13,0,0.4
104,86,71,13,0,0.8
98,85,72,13,0,0.7
95,88,72,13,0,0.8
100,87,73,13,0,0.6
103,85,74,13,0,0.9
110,88,72,14,0,0.5
115,91,71,14,0.2,0.3
117,92,70,15,0,0.8
121,80,69,15,0,1.1
119,72,68,15,0,1.2
112,76,68,15,0,1.5
109,75,67,15,0,1.1
105,74,67,15,0,0.8
108,76,67,16,0,0.8
108,78,67,16,0,0.3
114,84,69,15,0,0.6
121,89,71,14,0,0.5
119,92,75,13,0,0.7
114,88,77,13,0,0.5
108,84,79,12,0,0.4
101,79,80,12,0,0.6
93,73,81,11,0,0.2
87,70,81,11,0,0.3
81,62,81,11,0,0.3
83,58,83,10,0,0.4
88,62,83,10,0,0.2
89,70,83,10,0,0.3
82,69,83,11,0,0.1
72,61,82,11,0,0.2
81,68,81,12,0,0.5
94,75,78,13,0,0.3
94,73,73,14,0,0.1
79,63,64,17,0,0.4
61,48,56,19,0,0.4
43,32,50,20,0,1.2
27,17,43,22,0,2.4
42,28,49,22,0,3.8
66,49,56,20,0,2.8
73,50,62,19,0,2.1
86,59,66,18,0,0.4
98,72,68,18,0,0.7
99,72,70,17,0,0.5
88,66,73,16,0,0.6
77,58,75,16,0,0.4
77,58,74,16,0,0.3
76,57,76,16,0,0.8
70,48,76,15,0,0.5
65,47,78,15,0,0.4
64,51,79,15,0,0.6
64,50,80,15,0,1.1
62,47,80,14,0,0.3
60,49,80,14,0,0.5
64,54,81,14,0,1
66,55,79,14,0,0.7
67,57,75,15,0,1
65,55,73,16,0,1.6
60,50,70,17,0,1.3
51,45,69,17,0,2.5
45,33,68,17,0,0.8
46,35,68,17,0,0.5
48,35,66,18,0,0.7
48,35,64,18,0,0.7
51,38,66,17,0,1.2
51,33,63,16,0,1.9
50,35,63,15,0,1.4
54,43,63,15,0,1.3
55,42,64,15,0,0.9
50,42,65,15,0,0.7
49,44,66,14,0,1.1
55,41,67,14,0,0.8
55,37,69,14,0,0.7
53,40,69,13,0,0.6
57,47,69,13,0,0.8
60,49,69,13,0,0.5
56,48,70,13,0,0.6
61,51,70,13,0,0.5
66,49,71,13,0,0.5
65,48,69,13,0,0.4
71,53,65,15,0,0.5
73,51,62,16,0,2.4
70,46,60,16,0,4.1
72,44,60,16,0,3.4
67,42,60,15,0,2.8
60,39,59,16,0,1.6
61,37,59,16,0,2
59,35,60,16,0,2
59,34,60,15,0,1.5
59,32,62,15,0,0.8
55,31,65,14,0,1.1
51,27,67,13,0,1.1
44,24,70,12,0,0.7
37,23,70,12,0,0.8
33,22,70,12,0,0.8
31,19,71,11,0,0.6
31,18,69,12,0,0.4
37,20,71,11,0,0.9
37,20,72,12,0,0.4
39,25,75,11,0,0.6
48,27,77,10,0,0.7
49,28,78,10,0,0.5
45,32,78,10,0,0.1
48,37,74,11,0,0.2
59,42,66,14,0,0.3
55,40,57,16,0,0.6
43,31,52,17,0,1.3
50,32,55,18,0,3.7
61,39,54,18,0,2.9
65,40,56,17,0,2.9
62,38,57,17,0,2.8
64,41,57,16,0,2.8
65,44,58,16,0,1.4
70,47,61,15,0,0.9
75,53,67,14,0,0.6
75,55,70,13,0,0.2
75,55,73,12,0,0.4
67,53,74,12,0,0.5
64,49,76,11,0,0.6
62,45,77,11,0,0.5
61,46,78,11,0,0.2
59,45,79,10,0,0.4
59,41,79,10,0,0.3
56,43,79,10,0,0.1
55,47,79,10,0,0.6
59,49,80,10,0,0.2
66,50,79,11,0,0.5
73,53,77,11,0,0.3
